name,constituency,email,website,office_type,office_title,office_address,office_city,office_province,office_postal_code,office_note,office_phone,office_fax,source,time_retrieved
Vance Badawey,Niagara Centre,vance.badawey@parl.gc.ca,http://vancebadawey.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-0988,613-995-5245,https://www.ourcommons.ca/members/en/vance-badawey(88867),1705764558727
Vance Badawey,Niagara Centre,vance.badawey@parl.gc.ca,http://vancebadawey.libparl.ca,Constituency Office,Main office -  Welland,,Welland,Ontario,L3B 3W6,,905-788-2204,905-788-0071,https://www.ourcommons.ca/members/en/vance-badawey(88867),1705764558727
Parm Bains,Steveston—Richmond East,parm.bains@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1385,613-992-1410,https://www.ourcommons.ca/members/en/parm-bains(111067),1705764558727
Parm Bains,Steveston—Richmond East,parm.bains@parl.gc.ca,,Constituency Office,Main office -  Richmond,,Richmond,British Columbia,V7A 5J9,,604-257-2900,604-257-2904,https://www.ourcommons.ca/members/en/parm-bains(111067),1705764558727
Yvan Baker,Etobicoke Centre,Yvan.Baker@parl.gc.ca,http://yvanbaker.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-947-5000,613-947-4276,https://www.ourcommons.ca/members/en/yvan-baker(105121),1705764558727
Yvan Baker,Etobicoke Centre,Yvan.Baker@parl.gc.ca,http://yvanbaker.libparl.ca,Constituency Office,Main office -  Etobicoke,,Etobicoke,Ontario,M9C 2Y3,,416-249-7322,416-249-6117,https://www.ourcommons.ca/members/en/yvan-baker(105121),1705764558727
Tony Baldinelli,Niagara Falls,Tony.Baldinelli@parl.gc.ca,http://www.tonybaldinellimp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-1547,613-992-7910,https://www.ourcommons.ca/members/en/tony-baldinelli(30330),1705764558727
Tony Baldinelli,Niagara Falls,Tony.Baldinelli@parl.gc.ca,http://www.tonybaldinellimp.ca,Constituency Office,Main office -  Niagara Falls,,Niagara Falls,Ontario,L2E 6M9,,905-353-9590,905-353-9588,https://www.ourcommons.ca/members/en/tony-baldinelli(30330),1705764558727
Tony Baldinelli,Niagara Falls,Tony.Baldinelli@parl.gc.ca,http://www.tonybaldinellimp.ca,Constituency Office,Fort Erie,,Fort Erie,Ontario,L2A 2S4,,905-871-9991,905-871-5046,https://www.ourcommons.ca/members/en/tony-baldinelli(30330),1705764558727
John Barlow,Foothills,john.barlow@parl.gc.ca,http://johnbarlowmp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-8471,613-996-9770,https://www.ourcommons.ca/members/en/john-barlow(86261),1705764558727
John Barlow,Foothills,john.barlow@parl.gc.ca,http://johnbarlowmp.ca,Constituency Office,Main office -  High River,,High River,Alberta,T1V 1M5,,403-603-3665,403-603-3669,https://www.ourcommons.ca/members/en/john-barlow(86261),1705764558727
Michael Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Michael.Barrett@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-8756,613-996-9171,https://www.ourcommons.ca/members/en/michael-barrett(102275),1705764558727
Michael Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Michael.Barrett@parl.gc.ca,,Constituency Office,Main office -  Brockville,,Brockville,Ontario,K6V 4V5,,866-498-3096,613-498-3100,https://www.ourcommons.ca/members/en/michael-barrett(102275),1705764558727
Michael Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Michael.Barrett@parl.gc.ca,,Constituency Office,Kemptville,,Kemptville,Ontario,K0G 1J0,,866-498-3096,,https://www.ourcommons.ca/members/en/michael-barrett(102275),1705764558727
Lisa Marie Barron,Nanaimo—Ladysmith,lisamarie.barron@parl.gc.ca,http://lisamariebarron.ndp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-5243,613-992-9112,https://www.ourcommons.ca/members/en/lisa-marie-barron(111023),1705764558727
Lisa Marie Barron,Nanaimo—Ladysmith,lisamarie.barron@parl.gc.ca,http://lisamariebarron.ndp.ca,Constituency Office,Main office -  Nanaimo,,Nanaimo,British Columbia,V9R 6B9,,250-734-6400,250-734-6404,https://www.ourcommons.ca/members/en/lisa-marie-barron(111023),1705764558727
Xavier Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,xavier.barsalou-duval@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-996-2998,613-995-1062,https://www.ourcommons.ca/members/en/xavier-barsalou-duval(88422),1705764558727
Xavier Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,xavier.barsalou-duval@parl.gc.ca,,Constituency Office,Main office -  Varennes,,Varennes,Quebec,J3X 1P7,,450-652-4442,450-652-4447,https://www.ourcommons.ca/members/en/xavier-barsalou-duval(88422),1705764558727
Jaime Battiste,Sydney—Victoria,Jaime.Battiste@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-6459,613-995-2963,https://www.ourcommons.ca/members/en/jaime-battiste(104571),1705764558727
Jaime Battiste,Sydney—Victoria,Jaime.Battiste@parl.gc.ca,,Constituency Office,Main office -  Membertou First Nation (Sydney),,Membertou First Nation (Sydney),Nova Scotia,B1S 2N9,,902-567-6275,902-564-2479,https://www.ourcommons.ca/members/en/jaime-battiste(104571),1705764558727
Mario Beaulieu,La Pointe-de-l'Île,mario.beaulieu@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-6327,613-996-5173,https://www.ourcommons.ca/members/en/mario-beaulieu(376),1705764558727
Mario Beaulieu,La Pointe-de-l'Île,mario.beaulieu@parl.gc.ca,,Constituency Office,Main office -  Montréal,,Montréal,Quebec,H1B 5P5,,514-645-0101,514-645-0032,https://www.ourcommons.ca/members/en/mario-beaulieu(376),1705764558727
The Honourable Terry Beech,Burnaby North—Seymour,terry.beech@parl.gc.ca,http://terrybeechmp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0802,613-992-0824,https://www.ourcommons.ca/members/en/terry-beech(89236),1705764558727
The Honourable Terry Beech,Burnaby North—Seymour,terry.beech@parl.gc.ca,http://terrybeechmp.ca,Constituency Office,Main office -  Burnaby,,Burnaby,British Columbia,V5C 6C1,,604-718-8870,604-718-8874,https://www.ourcommons.ca/members/en/terry-beech(89236),1705764558727
Rachel Bendayan,Outremont,Rachel.Bendayan@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-7691,613-995-0114,https://www.ourcommons.ca/members/en/rachel-bendayan(88567),1705764558727
Rachel Bendayan,Outremont,Rachel.Bendayan@parl.gc.ca,,Constituency Office,Main office -  Montréal,,Montréal,Quebec,H2T 2N7,,514-736-2727,514-736-2726,https://www.ourcommons.ca/members/en/rachel-bendayan(88567),1705764558727
Stéphane Bergeron,Montarville,Stephane.Bergeron@parl.gc.ca,http://www.stephanebergeron.net,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-996-2416,613-995-6973,https://www.ourcommons.ca/members/en/stephane-bergeron(496),1705764558727
Stéphane Bergeron,Montarville,Stephane.Bergeron@parl.gc.ca,http://www.stephanebergeron.net,Constituency Office,Main office -  Sainte-julie,,Sainte-julie,Quebec,J3E 1Y8,,450-922-2562,450-922-1223,https://www.ourcommons.ca/members/en/stephane-bergeron(496),1705764558727
Luc Berthold,Mégantic—L'Érable,luc.berthold@parl.gc.ca,http://lucberthold.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-1377,613-943-1562,https://www.ourcommons.ca/members/en/luc-berthold(88541),1705764558727
Luc Berthold,Mégantic—L'Érable,luc.berthold@parl.gc.ca,http://lucberthold.ca,Constituency Office,Main office -  Thetford Mines,,Thetford Mines,Quebec,G6G 2J9,,418-338-2903,418-338-3631,https://www.ourcommons.ca/members/en/luc-berthold(88541),1705764558727
Luc Berthold,Mégantic—L'Érable,luc.berthold@parl.gc.ca,http://lucberthold.ca,Constituency Office,Plessisville,,Plessisville,Quebec,G6L 1R3,,819-362-0055,,https://www.ourcommons.ca/members/en/luc-berthold(88541),1705764558727
Luc Berthold,Mégantic—L'Érable,luc.berthold@parl.gc.ca,http://lucberthold.ca,Constituency Office,Lac-Mégantic,,Lac-Mégantic,Quebec,G6B 1H6,,819-583-0074,,https://www.ourcommons.ca/members/en/luc-berthold(88541),1705764558727
Sylvie Bérubé,Abitibi—Baie-James—Nunavik—Eeyou,Sylvie.Berube@parl.gc.ca,http://deputee.sylvieberube.info,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-3030,613-996-0828,https://www.ourcommons.ca/members/en/sylvie-berube(104622),1705764558727
Sylvie Bérubé,Abitibi—Baie-James—Nunavik—Eeyou,Sylvie.Berube@parl.gc.ca,http://deputee.sylvieberube.info,Constituency Office,Main office -  Val-d'Or,,Val-d'Or,Quebec,J9P 5E6,,819-824-2942,819-824-2958,https://www.ourcommons.ca/members/en/sylvie-berube(104622),1705764558727
Sylvie Bérubé,Abitibi—Baie-James—Nunavik—Eeyou,Sylvie.Berube@parl.gc.ca,http://deputee.sylvieberube.info,Constituency Office,Lebel-sur-quevillon,,Lebel-sur-quevillon,Quebec,J0Y 1X0,,,,https://www.ourcommons.ca/members/en/sylvie-berube(104622),1705764558727
Sylvie Bérubé,Abitibi—Baie-James—Nunavik—Eeyou,Sylvie.Berube@parl.gc.ca,http://deputee.sylvieberube.info,Constituency Office,Chibougamau,,Chibougamau,Quebec,G8P 3A1,,,,https://www.ourcommons.ca/members/en/sylvie-berube(104622),1705764558727
James Bezan,Selkirk—Interlake—Eastman,james.bezan@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-2032,613-992-6224,https://www.ourcommons.ca/members/en/james-bezan(25475),1705764558727
James Bezan,Selkirk—Interlake—Eastman,james.bezan@parl.gc.ca,,Constituency Office,Main office -  Selkirk,,Selkirk,Manitoba,R1A 0Y5,,204-785-6151,204-785-6153,https://www.ourcommons.ca/members/en/james-bezan(25475),1705764558727
The Honourable Marie-Claude Bibeau,Compton—Stanstead,marie-claude.bibeau@parl.gc.ca,http://marieclaudebibeau.libparl.ca/?lang=en,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-2024,613-992-1696,https://www.ourcommons.ca/members/en/marie-claude-bibeau(88449),1705764558727
The Honourable Marie-Claude Bibeau,Compton—Stanstead,marie-claude.bibeau@parl.gc.ca,http://marieclaudebibeau.libparl.ca/?lang=en,Constituency Office,Main office -  Sherbrooke,,Sherbrooke,Quebec,J1M 1K1,,819-347-2598,819-347-3583,https://www.ourcommons.ca/members/en/marie-claude-bibeau(88449),1705764558727
Chris Bittle,St. Catharines,chris.bittle@parl.gc.ca,http://chrisbittle.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-3352,613-947-4402,https://www.ourcommons.ca/members/en/chris-bittle(88934),1705764558727
Chris Bittle,St. Catharines,chris.bittle@parl.gc.ca,http://chrisbittle.libparl.ca,Constituency Office,Main office -  St. Catharines,,St. Catharines,Ontario,L2M 4M6,,905-934-6767,905-934-1577,https://www.ourcommons.ca/members/en/chris-bittle(88934),1705764558727
Daniel Blaikie,Elmwood—Transcona,daniel.blaikie@parl.gc.ca,http://www.danielblaikiemp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-6339,613-995-6688,https://www.ourcommons.ca/members/en/daniel-blaikie(89032),1705764558727
Daniel Blaikie,Elmwood—Transcona,daniel.blaikie@parl.gc.ca,http://www.danielblaikiemp.ca,Constituency Office,Main office -  Winnipeg,,Winnipeg,Manitoba,R2K 3Z5,,204-984-2499,204-984-2502,https://www.ourcommons.ca/members/en/daniel-blaikie(89032),1705764558727
The Honourable Bill Blair,Scarborough Southwest,bill.blair@parl.gc.ca,http://billblair.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-0284,613-996-6309,https://www.ourcommons.ca/members/en/bill-blair(88961),1705764558727
The Honourable Bill Blair,Scarborough Southwest,bill.blair@parl.gc.ca,http://billblair.libparl.ca,Constituency Office,Main office -  Scarborough,,Scarborough,Ontario,M1N 1T8,,416-261-8613,416-261-5268,https://www.ourcommons.ca/members/en/bill-blair(88961),1705764558727
Yves-François Blanchet,Beloeil—Chambly,Yves-Francois.Blanchet@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-6035,613-947-5096,https://www.ourcommons.ca/members/en/yves-francois-blanchet(104669),1705764558727
Yves-François Blanchet,Beloeil—Chambly,Yves-Francois.Blanchet@parl.gc.ca,,Constituency Office,Main office -  Chambly,,Chambly,Quebec,J3L 2Z5,,450-658-0088,450-658-0885,https://www.ourcommons.ca/members/en/yves-francois-blanchet(104669),1705764558727
Maxime Blanchette-Joncas,Rimouski-Neigette—Témiscouata—Les Basques,Maxime.Blanchette-Joncas@parl.gc.ca,http://www.maximeblanchettejoncas.quebec,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-5302,613-996-8298,https://www.ourcommons.ca/members/en/maxime-blanchette-joncas(104705),1705764558727
Maxime Blanchette-Joncas,Rimouski-Neigette—Témiscouata—Les Basques,Maxime.Blanchette-Joncas@parl.gc.ca,http://www.maximeblanchettejoncas.quebec,Constituency Office,Main office -  Rimouski,,Rimouski,Quebec,G5L 1C2,,418-725-2562,418-725-3993,https://www.ourcommons.ca/members/en/maxime-blanchette-joncas(104705),1705764558727
Maxime Blanchette-Joncas,Rimouski-Neigette—Témiscouata—Les Basques,Maxime.Blanchette-Joncas@parl.gc.ca,http://www.maximeblanchettejoncas.quebec,Constituency Office,Témiscouata-sur-le-Lac,,Témiscouata-sur-le-Lac,Quebec,G0L 1E0,,418-714-1011,,https://www.ourcommons.ca/members/en/maxime-blanchette-joncas(104705),1705764558727
Rachel Blaney,North Island—Powell River,rachel.blaney@parl.gc.ca,http://rachelblaney.ndp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-2503,613-996-3306,https://www.ourcommons.ca/members/en/rachel-blaney(89354),1705764558727
Rachel Blaney,North Island—Powell River,rachel.blaney@parl.gc.ca,http://rachelblaney.ndp.ca,Constituency Office,Powell River,,Powell River,British Columbia,V8A 2G8,,604-489-2286,,https://www.ourcommons.ca/members/en/rachel-blaney(89354),1705764558727
Rachel Blaney,North Island—Powell River,rachel.blaney@parl.gc.ca,http://rachelblaney.ndp.ca,Constituency Office,Main office -  Campbell River,,Campbell River,British Columbia,V9W 4E4,,250-287-9388,250-287-9361,https://www.ourcommons.ca/members/en/rachel-blaney(89354),1705764558727
Kelly Block,Carlton Trail—Eagle Creek,kelly.block@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-1551,613-943-2010,https://www.ourcommons.ca/members/en/kelly-block(59156),1705764558727
Kelly Block,Carlton Trail—Eagle Creek,kelly.block@parl.gc.ca,,Constituency Office,Main office -  Martensville,,Martensville,Saskatchewan,S0K 2T0,,306-975-4004,306-975-4051,https://www.ourcommons.ca/members/en/kelly-block(59156),1705764558727
Kelly Block,Carlton Trail—Eagle Creek,kelly.block@parl.gc.ca,,Constituency Office,Humboldt,,Humboldt,Saskatchewan,S0K 2A0,,306-682-1611,,https://www.ourcommons.ca/members/en/kelly-block(59156),1705764558727
