member_id,time_retrieved,honorific,first_name,last_name,constituency,province_territory,party,email,website,gov_level,image_url,source_url
7484,1708745813416,Hon.,Paul,Calandra,Markham—Stouffville,Ontario,Progressive Conservative Party of Ontario,Paul.Calandra@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/paul_calandra_v2.jpg,https://www.ola.org/en/members/all/paul-calandra
7364,1708745813416,Hon.,Raymond Sung Joon,Cho,Scarborough North,Ontario,Progressive Conservative Party of Ontario,Raymond.Cho@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/raymond_cho_0.jpg,https://www.ola.org/en/members/all/raymond-sung-joon-cho
7520,1708745813416,Hon.,Stan,Cho,Willowdale,Ontario,Progressive Conservative Party of Ontario,Stan.Cho@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/stan_cho.jpg,https://www.ola.org/en/members/all/stan-cho
104,1708745813416,,Aislinn,Clancy,Kitchener Centre,Ontario,Green Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/mpp-placeholder.png,https://www.ola.org/en/members/all/aislinn-clancy
7146,1708745813416,,Steve,Clark,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Progressive Conservative Party of Ontario,Steve.Clark@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/steve_clark_0.jpg,https://www.ola.org/en/members/all/steve-clark
7344,1708745813416,,Lorne,Coe,Whitby,Ontario,Progressive Conservative Party of Ontario,Lorne.Coe@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/lorne_coe_0.jpg,https://www.ola.org/en/members/all/lorne-coe
7565,1708745813416,,Lucille,Collard,Ottawa—Vanier,Ontario,Ontario Liberal Party,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Collard-edited.jpg,https://www.ola.org/en/members/all/lucille-collard
7498,1708745813416,,Stephen,Crawford,Oakville,Ontario,Progressive Conservative Party of Ontario,Stephen.Crawford@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/stephen_crawford.jpg,https://www.ola.org/en/members/all/stephen-crawford
7492,1708745813416,,Rudy,Cuzzetto,Mississauga—Lakeshore,Ontario,Progressive Conservative Party of Ontario,Rudy.Cuzzetto@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/rudy_cuzzetto.jpg,https://www.ola.org/en/members/all/rudy-cuzzetto
7603,1708745813416,,Jess,Dixon,Kitchener South—Hespeler,Ontario,Progressive Conservative Party of Ontario,Jess.Dixon@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Jess_Dixon.png,https://www.ola.org/en/members/all/jess-dixon
7617,1708745813416,,Andrew,Dowie,Windsor—Tecumseh,Ontario,Progressive Conservative Party of Ontario,Andrew.Dowie@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Andrew_Dowie.png,https://www.ola.org/en/members/all/andrew-dowie
7450,1708745813416,Hon.,Doug,Downey,Barrie—Springwater—Oro-Medonte,Ontario,Progressive Conservative Party of Ontario,Doug.Downey@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/doug_downey.jpg,https://www.ola.org/en/members/all/doug-downey
7512,1708745813416,Hon.,Jill,Dunlop,Simcoe North,Ontario,Progressive Conservative Party of Ontario,Jill.Dunlop@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Jill%20Dunlop.jpeg,https://www.ola.org/en/members/all/jill-dunlop
7185,1708745813416,Hon.,Victor,Fedeli,Nipissing,Ontario,Progressive Conservative Party of Ontario,Vic.Fedeli@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/victor_fedeli_0.jpg,https://www.ola.org/en/members/all/victor-fedeli
7204,1708745813416,,Catherine,Fife,Waterloo,Ontario,New Democratic Party of Ontario,CFife-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/catherine_fife_0.jpg,https://www.ola.org/en/members/all/catherine-fife
7596,1708745813416,Hon.,Rob,Flack,Elgin—Middlesex—London,Ontario,Progressive Conservative Party of Ontario,Rob.Flack@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Rob_Flack.png,https://www.ola.org/en/members/all/rob-flack
7468,1708745813416,Hon.,Doug,Ford,Etobicoke North,Ontario,Progressive Conservative Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/doug_ford.jpg,https://www.ola.org/en/members/all/doug-ford
7619,1708745813416,Hon.,Michael,Ford,York South—Weston,Ontario,Progressive Conservative Party of Ontario,Michael.Ford@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Michael_Ford.jpg,https://www.ola.org/en/members/all/michael-d-ford
7226,1708745813416,,John,Fraser,Ottawa South,Ontario,Ontario Liberal Party,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/john_fraser.jpg,https://www.ola.org/en/members/all/john-fraser
7283,1708745813416,,Jennifer,French,Oshawa,Ontario,New Democratic Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Jennifer_French.jpg,https://www.ola.org/en/members/all/jennifer-k-french
7605,1708745813416,,Dawn,Gallagher Murphy,Newmarket—Aurora,Ontario,Progressive Conservative Party of Ontario,Dawn.GallagherMurphy@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Dawn_Gallagher_Murphy.png,https://www.ola.org/en/members/all/dawn-gallagher-murphy
7244,1708745813416,,Wayne,Gates,Niagara Falls,Ontario,New Democratic Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/wayne_gates_0.jpg,https://www.ola.org/en/members/all/wayne-gates
7090,1708745813416,,France,Gélinas,Nickel Belt,Ontario,New Democratic Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/France_G%C3%A9linas.jpeg,https://www.ola.org/en/members/all/france-gelinas
7459,1708745813416,,Goldie,Ghamari,Carleton,Ontario,Progressive Conservative Party of Ontario,Goldie.Ghamari@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/ghamari_goldie.jpg,https://www.ola.org/en/members/all/goldie-ghamari
7513,1708745813416,,Chris,Glover,Spadina—Fort York,Ontario,New Democratic Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/chris_glover.jpg,https://www.ola.org/en/members/all/chris-glover
7288,1708745813416,,Lisa,Gretzky,Windsor West,Ontario,New Democratic Party of Ontario,LGretzky-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/lisa_gretzky_0.jpg,https://www.ola.org/en/members/all/lisa-gretzky
7587,1708745813416,,Hardeep,Grewal,Brampton East,Ontario,Progressive Conservative Party of Ontario,Hardeep.Grewal@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Hardeep_Grewal.png,https://www.ola.org/en/members/all/hardeep-singh-grewal
43,1708745813416,,Ernie,Hardeman,Oxford,Ontario,Progressive Conservative Party of Ontario,Ernie.Hardeman@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/ernie_hardeman_1.jpg,https://www.ola.org/en/members/all/ernie-hardeman
7500,1708745813416,,Joel,Harden,Ottawa Centre,Ontario,New Democratic Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/joel_harden.jpg,https://www.ola.org/en/members/all/joel-harden
7482,1708745813416,,Mike,Harris,Kitchener—Conestoga,Ontario,Progressive Conservative Party of Ontario,Mike.Harris@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/mike-harris.jpg,https://www.ola.org/en/members/all/mike-harris
7644,1708745813416,,Andrea,Hazell,Scarborough—Guildwood,Ontario,Ontario Liberal Party,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Andrea_Hazell_2.jpg,https://www.ola.org/en/members/all/andrea-hazell
7469,1708745813416,,Christine,Hogarth,Etobicoke—Lakeshore,Ontario,Progressive Conservative Party of Ontario,Christine.Hogarth@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/christine_hogarth.jpg,https://www.ola.org/en/members/all/christine-hogarth
7613,1708745813416,,Kevin,Holland,Thunder Bay—Atikokan,Ontario,Progressive Conservative Party of Ontario,Kevin.Holland@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Kevin_Holland_1.png,https://www.ola.org/en/members/all/kevin-holland
7602,1708745813416,,Ted,Hsu,Kingston and the Islands,Ontario,Ontario Liberal Party,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Ted_Hsu.jpg,https://www.ola.org/en/members/all/ted-hsu
7624,1708745813416,,Sarah,Jama,Hamilton Centre,Ontario,Independent,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Sarah_Jama_1.jpeg,https://www.ola.org/en/members/all/sarah-jama
7093,1708745813416,Hon.,Sylvia,Jones,Dufferin—Caledon,Ontario,Progressive Conservative Party of Ontario,Sylvia.Jones@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Sylvia_Jones.jpeg,https://www.ola.org/en/members/all/sylvia-jones
7592,1708745813416,,Trevor,Jones,Chatham-Kent—Leamington,Ontario,Progressive Conservative Party of Ontario,Trevor.Jones@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Trevor_Jones.png,https://www.ola.org/en/members/all/trevor-jones
7604,1708745813416,,John,Jordan,Lanark—Frontenac—Kingston,Ontario,Progressive Conservative Party of Ontario,John.Jordan@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/John_Jordan.png,https://www.ola.org/en/members/all/john-jordan
7485,1708745813416,,Logan,Kanapathi,Markham—Thornhill,Ontario,Progressive Conservative Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Logan_Kanapathi.jpg,https://www.ola.org/en/members/all/logan-kanapathi
7502,1708745813416,,Bhutila,Karpoche,Parkdale—High Park,Ontario,New Democratic Party of Ontario,BKarpoche-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/bhutila_karpoche.jpg,https://www.ola.org/en/members/all/bhutila-karpoche
7461,1708745813416,,Vincent,Ke,Don Valley North,Ontario,Independent,Vke-QP@ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/vincent_ke.jpg,https://www.ola.org/en/members/all/vincent-ke
7483,1708745813416,,Terence,Kernaghan,London North Centre,Ontario,New Democratic Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/terence_kernaghan_0.jpg,https://www.ola.org/en/members/all/terence-kernaghan
7618,1708745813416,Hon.,Michael,Kerzner,York Centre,Ontario,Progressive Conservative Party of Ontario,Michael.Kerzner@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Michael_Kerzner.png,https://www.ola.org/en/members/all/michael-s-kerzner
7448,1708745813416,Hon.,Andrea,Khanjin,Barrie—Innisfil,Ontario,Progressive Conservative Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/andrea_khanjin.jpg,https://www.ola.org/en/members/all/andrea-khanjin
7489,1708745813416,,Natalia,Kusendova-Bashta,Mississauga Centre,Ontario,Progressive Conservative Party of Ontario,natalia.kusendova@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/natalia_kusendova.jpg,https://www.ola.org/en/members/all/natalia-kusendova-bashta
7597,1708745813416,,Anthony,Leardi,Essex,Ontario,Progressive Conservative Party of Ontario,Anthony.Leardi@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Anthony_Leardi.png,https://www.ola.org/en/members/all/anthony-leardi
7479,1708745813416,Hon.,Stephen,Lecce,King—Vaughan,Ontario,Progressive Conservative Party of Ontario,Stephen.Lecce@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Stephen_Lecce.jpg,https://www.ola.org/en/members/all/stephen-lecce
7600,1708745813416,Hon.,Neil,Lumsden,Hamilton East—Stoney Creek,Ontario,Progressive Conservative Party of Ontario,Neil.Lumsden@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Neil_Lumsden.png,https://www.ola.org/en/members/all/neil-lumsden
7042,1708745813416,,Lisa,MacLeod,Nepean,Ontario,Progressive Conservative Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/lisa_macleod_0.jpg,https://www.ola.org/en/members/all/lisa-macleod
7477,1708745813416,,Sol,Mamakwa,Kiiwetinoong,Ontario,New Democratic Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Sol_Mamakwa_v1.jpg,https://www.ola.org/en/members/all/sol-mamakwa
7164,1708745813416,,Michael,Mantha,Algoma—Manitoulin,Ontario,Independent,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/michael_mantha_0.jpg,https://www.ola.org/en/members/all/michael-mantha
7465,1708745813416,,Robin,Martin,Eglinton—Lawrence,Ontario,Progressive Conservative Party of Ontario,Robin.Martin@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/robin_martin_photo.jpg,https://www.ola.org/en/members/all/robin-martin
7595,1708745813416,Hon.,Todd,McCarthy,Durham,Ontario,Progressive Conservative Party of Ontario,Todd.McCarthy@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Todd_McCarthy.png,https://www.ola.org/en/members/all/todd-j-mccarthy
7645,1708745813416,,Karen,McCrimmon,Kanata—Carleton,Ontario,Ontario Liberal Party,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Karen_McCrimmon_edited.jpg,https://www.ola.org/en/members/all/karen-mccrimmon
7588,1708745813416,,Graham,McGregor,Brampton North,Ontario,Progressive Conservative Party of Ontario,Graham.McGregor@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Graham%20McGregor_edited.png,https://www.ola.org/en/members/all/graham-mcgregor
7585,1708745813416,,Mary-Margaret,McMahon,Beaches—East York,Ontario,Ontario Liberal Party,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Mary_Margaret_McMahon.jpg,https://www.ola.org/en/members/all/mary-margaret-mcmahon
7523,1708745813416,Hon.,Caroline,Mulroney,York—Simcoe,Ontario,Progressive Conservative Party of Ontario,Caroline.Mulroney@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/caroline_mulroney.jpg,https://www.ola.org/en/members/all/caroline-mulroney
7405,1708745813416,,Sam,Oosterhoff,Niagara West,Ontario,Progressive Conservative Party of Ontario,Sam.Oosterhoff@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Sam_Oosterhoff.png,https://www.ola.org/en/members/all/sam-oosterhoff
7486,1708745813416,,Billy,Pang,Markham—Unionville,Ontario,Progressive Conservative Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/billy_pang_0.jpg,https://www.ola.org/en/members/all/billy-pang
7447,1708745813416,Hon.,Michael,Parsa,Aurora—Oak Ridges—Richmond Hill,Ontario,Progressive Conservative Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/michael-parsa.jpg,https://www.ola.org/en/members/all/michael-parsa
7606,1708745813416,,Chandra,Pasma,Ottawa West—Nepean,Ontario,New Democratic Party of Ontario,CPasma-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Chandra_Pasma.png,https://www.ola.org/en/members/all/chandra-pasma
7524,1708745813416,Hon.,David,Piccini,Northumberland—Peterborough South,Ontario,Progressive Conservative Party of Ontario,David.Piccini@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/david_piccini_0.jpg,https://www.ola.org/en/members/all/david-piccini
7590,1708745813416,,Natalie,Pierre,Burlington,Ontario,Progressive Conservative Party of Ontario,Natalie.Pierre@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Natalie_Pierre.png,https://www.ola.org/en/members/all/natalie-pierre
7615,1708745813416,Hon.,George,Pirie,Timmins,Ontario,Progressive Conservative Party of Ontario,george.pirie@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/George_Pirie.png,https://www.ola.org/en/members/all/george-pirie
7611,1708745813416,,Nolan,Quinn,Stormont—Dundas—South Glengarry,Ontario,Progressive Conservative Party of Ontario,Nolan.Quinn@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Nolan_Quinn.png,https://www.ola.org/en/members/all/nolan-quinn
7608,1708745813416,,Matthew,Rae,Perth—Wellington,Ontario,Progressive Conservative Party of Ontario,Matthew.Rae@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Matt_Rae.png,https://www.ola.org/en/members/all/matthew-rae
7474,1708745813416,,Tom,Rakocevic,Humber River—Black Creek,Ontario,New Democratic Party of Ontario,TRakocevic-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/tom_rakocevic.jpg,https://www.ola.org/en/members/all/tom-rakocevic
7490,1708745813416,,Kaleed,Rasheed,Mississauga East—Cooksville,Ontario,Independent,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/kaleed_rasheed_.jpg,https://www.ola.org/en/members/all/kaleed-rasheed
7476,1708745813416,Hon.,Greg,Rickford,Kenora—Rainy River,Ontario,Progressive Conservative Party of Ontario,Greg.Rickford@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Greg%20Rickford.jpeg,https://www.ola.org/en/members/all/greg-rickford
7591,1708745813416,,Brian,Riddell,Cambridge,Ontario,Progressive Conservative Party of Ontario,Brian.Riddell@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Brian_Riddell.png,https://www.ola.org/en/members/all/brian-riddell
7424,1708745813416,,Ross,Romano,Sault Ste. Marie,Ontario,Progressive Conservative Party of Ontario,Ross.Romano@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/ross_romano_0.jpg,https://www.ola.org/en/members/all/ross-romano
7491,1708745813416,,Sheref,Sabawy,Mississauga—Erin Mills,Ontario,Progressive Conservative Party of Ontario,Sheref.Sabawy@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/sheref_sabawy.jpg,https://www.ola.org/en/members/all/sheref-sabawy
7456,1708745813416,,Amarjot,Sandhu,Brampton West,Ontario,Progressive Conservative Party of Ontario,Amarjot.Sandhu@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/amarjot_sandhu_0.jpg,https://www.ola.org/en/members/all/amarjot-sandhu
7455,1708745813416,Hon.,Prabmeet Singh,Sarkaria,Brampton South,Ontario,Progressive Conservative Party of Ontario,Prabmeet.Sarkaria@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/prabmeet_sarkaria.jpg,https://www.ola.org/en/members/all/prabmeet-singh-sarkaria
7598,1708745813416,,Stéphane,Sarrazin,Glengarry—Prescott—Russell,Ontario,Progressive Conservative Party of Ontario,Stephane.Sarrazin@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Stephane_Sarrazin.png,https://www.ola.org/en/members/all/stephane-sarrazin
7225,1708745813416,,Peggy,Sattler,London West,Ontario,New Democratic Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/peggy_sattler.jpg,https://www.ola.org/en/members/all/peggy-sattler
7610,1708745813416,,Brian,Saunderson,Simcoe—Grey,Ontario,Progressive Conservative Party of Ontario,Brian.Saunderson@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Brian_Saunderson.jpeg,https://www.ola.org/en/members/all/brian-saunderson
7449,1708745813416,,Mike,Schreiner,Guelph,Ontario,Green Party of Ontario,mschreiner@ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/mike_schreiner_v1.jpg,https://www.ola.org/en/members/all/mike-schreiner
2116,1708745813416,,Laurie,Scott,Haliburton—Kawartha Lakes—Brock,Ontario,Progressive Conservative Party of Ontario,Laurie.Scott@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/laurie_scott_0.jpg,https://www.ola.org/en/members/all/laurie-scott
7593,1708745813416,,Adil,Shamji,Don Valley East,Ontario,Ontario Liberal Party,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Adil_Shamji.jpg,https://www.ola.org/en/members/all/adil-shamji
7472,1708745813416,,Sandy,Shaw,Hamilton West—Ancaster—Dundas,Ontario,New Democratic Party of Ontario,SShaw-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/sandy_shaw.jpg,https://www.ola.org/en/members/all/sandy-shaw
7470,1708745813416,,Donna,Skelly,Flamborough—Glanbrook,Ontario,Progressive Conservative Party of Ontario,Donna.Skelly@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/donna_skelly.jpg,https://www.ola.org/en/members/all/donna-skelly
7525,1708745813416,,Dave,Smith,Peterborough—Kawartha,Ontario,Progressive Conservative Party of Ontario,Dave.Smith@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/dave_smith.jpg,https://www.ola.org/en/members/all/dave-smith
7609,1708745813416,,David,Smith,Scarborough Centre,Ontario,Progressive Conservative Party of Ontario,david.smith1@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/David-Smith.jpg,https://www.ola.org/en/members/all/david-smith
7607,1708745813416,Hon.,Graydon,Smith,Parry Sound—Muskoka,Ontario,Progressive Conservative Party of Ontario,Graydon.Smith@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Graydon_Smith.png,https://www.ola.org/en/members/all/graydon-smith
7612,1708745813416,,Laura,Smith,Thornhill,Ontario,Progressive Conservative Party of Ontario,Laura.Smith@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Laura_Smith.png,https://www.ola.org/en/members/all/laura-smith
7189,1708745813416,Hon.,Todd,Smith,Bay of Quinte,Ontario,Progressive Conservative Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/todd_smith_1.jpg,https://www.ola.org/en/members/all/todd-smith
7514,1708745813416,,Jennifer (Jennie),Stevens,St. Catharines,Ontario,New Democratic Party of Ontario,JStevens-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/jennie_stevens.jpg,https://www.ola.org/en/members/all/jennifer-jennie-stevens
7460,1708745813416,,Marit,Stiles,Davenport,Ontario,New Democratic Party of Ontario,MStiles-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Marit%20Stiles.png,https://www.ola.org/en/members/all/marit-stiles
7467,1708745813416,Hon.,Kinga,Surma,Etobicoke Centre,Ontario,Progressive Conservative Party of Ontario,Kinga.Surma@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/kinga_surma.jpg,https://www.ola.org/en/members/all/kinga-surma
