member_id,time_retrieved,honorific,first_name,last_name,constituency,province_territory,party,email,website,image_url,source_url
36037,1708714122709,,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP,niki.ashton@parl.gc.ca,http://nikiashton.ndp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AshtonNiki_NDP.jpg,https://www.ourcommons.ca/members/en/niki-ashton(36037)
104586,1708714122709,,Jenica,Atwin,Fredericton,New Brunswick,Liberal,Jenica.Atwin@parl.gc.ca,http://jenicafredericton.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AtwinJenica_Lib.jpg,https://www.ourcommons.ca/members/en/jenica-atwin(104586)
105854,1708714122709,,Taylor,Bachrach,Skeena—Bulkley Valley,British Columbia,NDP,Taylor.Bachrach@parl.gc.ca,http://taylorbachrach.ndp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BachrachTaylor_NDP.jpg,https://www.ourcommons.ca/members/en/taylor-bachrach(105854)
88867,1708714122709,,Vance,Badawey,Niagara Centre,Ontario,Liberal,vance.badawey@parl.gc.ca,http://vancebadawey.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BadaweyVance_Lib.jpg,https://www.ourcommons.ca/members/en/vance-badawey(88867)
111067,1708714122709,,Parm,Bains,Steveston—Richmond East,British Columbia,Liberal,parm.bains@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BainsParm_Lib.jpg,https://www.ourcommons.ca/members/en/parm-bains(111067)
105121,1708714122709,,Yvan,Baker,Etobicoke Centre,Ontario,Liberal,Yvan.Baker@parl.gc.ca,http://yvanbaker.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BakerYvan_Lib.jpg,https://www.ourcommons.ca/members/en/yvan-baker(105121)
30330,1708714122709,,Tony,Baldinelli,Niagara Falls,Ontario,Conservative,Tony.Baldinelli@parl.gc.ca,http://www.tonybaldinellimp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BaldinelliTony_CPC.jpg,https://www.ourcommons.ca/members/en/tony-baldinelli(30330)
86261,1708714122709,,John,Barlow,Foothills,Alberta,Conservative,john.barlow@parl.gc.ca,http://johnbarlowmp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BarlowJohn_CPC.jpg,https://www.ourcommons.ca/members/en/john-barlow(86261)
102275,1708714122709,,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,Michael.Barrett@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BarrettMichael_CPC.jpg,https://www.ourcommons.ca/members/en/michael-barrett(102275)
111023,1708714122709,,Lisa Marie,Barron,Nanaimo—Ladysmith,British Columbia,NDP,lisamarie.barron@parl.gc.ca,http://lisamariebarron.ndp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BarronLisaMarie_NDP.jpg,https://www.ourcommons.ca/members/en/lisa-marie-barron(111023)
88422,1708714122709,,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,xavier.barsalou-duval@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BarsalouDuvalXavier_BQ.jpg,https://www.ourcommons.ca/members/en/xavier-barsalou-duval(88422)
104571,1708714122709,,Jaime,Battiste,Sydney—Victoria,Nova Scotia,Liberal,Jaime.Battiste@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BattisteJaime_Lib.jpg,https://www.ourcommons.ca/members/en/jaime-battiste(104571)
376,1708714122709,,Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,mario.beaulieu@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BeaulieuMario_BQ.jpg,https://www.ourcommons.ca/members/en/mario-beaulieu(376)
89236,1708714122709,Hon.,Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal,terry.beech@parl.gc.ca,http://terrybeechmp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BeechTerry_Lib.jpg,https://www.ourcommons.ca/members/en/terry-beech(89236)
88567,1708714122709,,Rachel,Bendayan,Outremont,Quebec,Liberal,Rachel.Bendayan@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BendayanRachel_Lib.jpg,https://www.ourcommons.ca/members/en/rachel-bendayan(88567)
496,1708714122709,,Stéphane,Bergeron,Montarville,Quebec,Bloc Québécois,Stephane.Bergeron@parl.gc.ca,http://www.stephanebergeron.net,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BergeronStéphane_BQ.jpg,https://www.ourcommons.ca/members/en/stephane-bergeron(496)
88541,1708714122709,,Luc,Berthold,Mégantic—L'Érable,Quebec,Conservative,luc.berthold@parl.gc.ca,http://lucberthold.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BertholdLuc_CPC.jpg,https://www.ourcommons.ca/members/en/luc-berthold(88541)
104622,1708714122709,,Sylvie,Bérubé,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Bloc Québécois,Sylvie.Berube@parl.gc.ca,http://deputee.sylvieberube.info,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BérubéSylvie_BQ.jpg,https://www.ourcommons.ca/members/en/sylvie-berube(104622)
25475,1708714122709,,James,Bezan,Selkirk—Interlake—Eastman,Manitoba,Conservative,james.bezan@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BezanJames_CPC.jpg,https://www.ourcommons.ca/members/en/james-bezan(25475)
88449,1708714122709,Hon.,Marie-Claude,Bibeau,Compton—Stanstead,Quebec,Liberal,marie-claude.bibeau@parl.gc.ca,http://marieclaudebibeau.libparl.ca/?lang=en,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BibeauMarie-Claude_Lib.jpg,https://www.ourcommons.ca/members/en/marie-claude-bibeau(88449)
88934,1708714122709,,Chris,Bittle,St. Catharines,Ontario,Liberal,chris.bittle@parl.gc.ca,http://chrisbittle.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BittleChris_Lib.jpg,https://www.ourcommons.ca/members/en/chris-bittle(88934)
89032,1708714122709,,Daniel,Blaikie,Elmwood—Transcona,Manitoba,NDP,daniel.blaikie@parl.gc.ca,http://www.danielblaikiemp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BlaikieDaniel_NDP.jpg,https://www.ourcommons.ca/members/en/daniel-blaikie(89032)
88961,1708714122709,Hon.,Bill,Blair,Scarborough Southwest,Ontario,Liberal,bill.blair@parl.gc.ca,http://billblair.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BlairBill_Lib.jpg,https://www.ourcommons.ca/members/en/bill-blair(88961)
104669,1708714122709,,Yves-François,Blanchet,Beloeil—Chambly,Quebec,Bloc Québécois,Yves-Francois.Blanchet@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BlanchetYves-François_BQ.jpg,https://www.ourcommons.ca/members/en/yves-francois-blanchet(104669)
104705,1708714122709,,Maxime,Blanchette-Joncas,Rimouski-Neigette—Témiscouata—Les Basques,Quebec,Bloc Québécois,Maxime.Blanchette-Joncas@parl.gc.ca,http://www.maximeblanchettejoncas.quebec,/Content/Parliamentarians/Images/OfficialMPPhotos/44/Blanchette-JoncasMaxime_BQ.jpg,https://www.ourcommons.ca/members/en/maxime-blanchette-joncas(104705)
89354,1708714122709,,Rachel,Blaney,North Island—Powell River,British Columbia,NDP,rachel.blaney@parl.gc.ca,http://rachelblaney.ndp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BlaneyRachel_NDP.jpg,https://www.ourcommons.ca/members/en/rachel-blaney(89354)
59156,1708714122709,,Kelly,Block,Carlton Trail—Eagle Creek,Saskatchewan,Conservative,kelly.block@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BlockKelly_CPC.jpg,https://www.ourcommons.ca/members/en/kelly-block(59156)
104555,1708714122709,,Kody,Blois,Kings—Hants,Nova Scotia,Liberal,Kody.Blois@parl.gc.ca,http://kodyblois.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BloisKody_Lib.jpg,https://www.ourcommons.ca/members/en/kody-blois(104555)
89147,1708714122709,Hon.,Randy,Boissonnault,Edmonton Centre,Alberta,Liberal,randy.boissonnault@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BoissonnaultRandy_Lib.jpg,https://www.ourcommons.ca/members/en/randy-boissonnault(89147)
58775,1708714122709,,Alexandre,Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP,Alexandre.Boulerice@parl.gc.ca,http://www.boulerice.org,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BoulericeAlexandre_NDP.jpg,https://www.ourcommons.ca/members/en/alexandre-boulerice(58775)
110487,1708714122709,,Valerie,Bradford,Kitchener South—Hespeler,Ontario,Liberal,valerie.bradford@parl.gc.ca,http://valeriebradford.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BradfordValerie_Lib.jpg,https://www.ourcommons.ca/members/en/valerie-bradford(110487)
88369,1708714122709,,Richard,Bragdon,Tobique—Mactaquac,New Brunswick,Conservative,Richard.Bragdon@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BragdonRichard_CPC.jpg,https://www.ourcommons.ca/members/en/richard-bragdon(88369)
88674,1708714122709,,John,Brassard,Barrie—Innisfil,Ontario,Conservative,john.brassard@parl.gc.ca,http://johnbrassard.com,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BrassardJohn_CPC.jpg,https://www.ourcommons.ca/members/en/john-brassard(88674)
104977,1708714122709,,Élisabeth,Brière,Sherbrooke,Quebec,Liberal,Elisabeth.Briere@parl.gc.ca,http://elisabethbriere.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BrièreÉlisabeth_Lib.jpg,https://www.ourcommons.ca/members/en/elisabeth-briere(104977)
110354,1708714122709,,Larry,Brock,Brantford—Brant,Ontario,Conservative,larry.brock@parl.gc.ca,http://www.larrybrockmp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/BrockLarry_CPC.jpg,https://www.ourcommons.ca/members/en/larry-brock(110354)
104786,1708714122709,,Alexis,Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc Québécois,Alexis.Brunelle-Duceppe@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/Brunelle-DuceppeAlexis_BQ.jpg,https://www.ourcommons.ca/members/en/alexis-brunelle-duceppe(104786)
35897,1708714122709,,Blaine,Calkins,Red Deer—Lacombe,Alberta,Conservative,blaine.calkins@parl.gc.ca,http://blainecalkinsmp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/CalkinsBlaine_CPC.jpg,https://www.ourcommons.ca/members/en/blaine-calkins(35897)
89327,1708714122709,,Richard,Cannings,South Okanagan—West Kootenay,British Columbia,NDP,richard.cannings@parl.gc.ca,http://richardcannings.ndp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/CanningsRichard_NDP.jpg,https://www.ourcommons.ca/members/en/richard-cannings(89327)
111007,1708714122709,,Frank,Caputo,Kamloops—Thompson—Cariboo,British Columbia,Conservative,frank.caputo@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/CaputoFrank_CPC.jpg,https://www.ourcommons.ca/members/en/frank-caputo(111007)
115744,1708714122709,,Ben,Carr,Winnipeg South Centre,Manitoba,Liberal,ben.carr@parl.gc.ca,http://bencarr.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/CarrBen_Lib.jpg,https://www.ourcommons.ca/members/en/ben-carr(115744)
25486,1708714122709,,Colin,Carrie,Oshawa,Ontario,Conservative,colin.carrie@parl.gc.ca,http://www.colincarriemp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/CarrieColin_CPC.jpg,https://www.ourcommons.ca/members/en/colin-carrie(25486)
71270,1708714122709,,Sean,Casey,Charlottetown,Prince Edward Island,Liberal,sean.casey@parl.gc.ca,http://seancasey.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/CaseySean_Lib.jpg,https://www.ourcommons.ca/members/en/sean-casey(71270)
104678,1708714122709,,Louise,Chabot,Thérèse-De Blainville,Quebec,Bloc Québécois,Louise.Chabot@parl.gc.ca,http://www.louisechabot.quebec,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChabotLouise_BQ.jpg,https://www.ourcommons.ca/members/en/louise-chabot(104678)
89000,1708714122709,Hon.,Bardish,Chagger,Waterloo,Ontario,Liberal,bardish.chagger@parl.gc.ca,http://bardishchaggermp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChaggerBardish_Lib.jpg,https://www.ourcommons.ca/members/en/bardish-chagger(89000)
110882,1708714122709,,George,Chahal,Calgary Skyview,Alberta,Liberal,george.chahal@parl.gc.ca,http://www.georgechahalmp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChahalGeorge_Lib.jpg,https://www.ourcommons.ca/members/en/george-chahal(110882)
110649,1708714122709,,Adam,Chambers,Simcoe North,Ontario,Conservative,adam.chambers@parl.gc.ca,http://adamchambersmp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChambersAdam_CPC.jpg,https://www.ourcommons.ca/members/en/adam-chambers(110649)
88633,1708714122709,Hon.,François-Philippe,Champagne,Saint-Maurice—Champlain,Quebec,Liberal,francois-philippe.champagne@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChampagneFrancoisPhilippe_Lib.jpg,https://www.ourcommons.ca/members/en/francois-philippe-champagne(88633)
104741,1708714122709,,Martin,Champoux,Drummond,Quebec,Bloc Québécois,Martin.Champoux@parl.gc.ca,http://martinchampoux.com,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChampouxMartin_BQ.jpg,https://www.ourcommons.ca/members/en/martin-champoux(104741)
110225,1708714122709,,Sophie,Chatel,Pontiac,Quebec,Liberal,sophie.chatel@parl.gc.ca,http://sophiechatel.libparl.ca/?lang=en,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChatelSophie_Lib.jpg,https://www.ourcommons.ca/members/en/sophie-chatel(110225)
88953,1708714122709,,Shaun,Chen,Scarborough North,Ontario,Liberal,shaun.chen@parl.gc.ca,http://shaunchen.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChenShaun_Lib.jpg,https://www.ourcommons.ca/members/en/shaun-chen(88953)
110513,1708714122709,,Paul,Chiang,Markham—Unionville,Ontario,Liberal,paul.chiang@parl.gc.ca,http://paulchiang.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChiangPaul_Lib.jpg,https://www.ourcommons.ca/members/en/paul-chiang(110513)
25488,1708714122709,Hon.,Michael,Chong,Wellington—Halton Hills,Ontario,Conservative,michael.chong@parl.gc.ca,http://michaelchong.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChongMichaelD_CPC.jpg,https://www.ourcommons.ca/members/en/michael-d-chong(25488)
110438,1708714122709,,Chad,Collins,Hamilton East—Stoney Creek,Ontario,Liberal,chad.collins@parl.gc.ca,http://chadcollins.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/CollinsChad_Lib.jpg,https://www.ourcommons.ca/members/en/chad-collins(110438)
105908,1708714122709,,Laurel,Collins,Victoria,British Columbia,NDP,Laurel.Collins@parl.gc.ca,http://laurelcollins.ndp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/CollinsLaurel_NDP.jpg,https://www.ourcommons.ca/members/en/laurel-collins(105908)
89219,1708714122709,,Michael,Cooper,St. Albert—Edmonton,Alberta,Conservative,michael.cooper@parl.gc.ca,http://michaelcoopermp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/CooperMichael_CPC.jpg,https://www.ourcommons.ca/members/en/michael-cooper(89219)
88350,1708714122709,,Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal,serge.cormier@parl.gc.ca,http://sergecormier.libparl.ca/?lang=en,/Content/Parliamentarians/Images/OfficialMPPhotos/44/CormierSerge_Lib.jpg,https://www.ourcommons.ca/members/en/serge-cormier(88350)
110373,1708714122709,,Michael,Coteau,Don Valley East,Ontario,Liberal,michael.coteau@parl.gc.ca,http://michaelcoteau.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/CoteauMichael_Lib.jpg,https://www.ourcommons.ca/members/en/michael-coteau(110373)
88994,1708714122709,,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,julie.dabrusin@parl.gc.ca,http://juliedabrusin.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DabrusinJulie_Lib.jpg,https://www.ourcommons.ca/members/en/julie-dabrusin(88994)
35909,1708714122709,,Marc,Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,Marc.Dalton@parl.gc.ca,http://www.marcdaltonmp.com,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DaltonMarc_CPC.jpg,https://www.ourcommons.ca/members/en/marc-dalton(35909)
88884,1708714122709,,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal,pam.damoff@parl.gc.ca,http://pamdamoff.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DamoffPam_lib.jpg,https://www.ourcommons.ca/members/en/pam-damoff(88884)
105521,1708714122709,,Raquel,Dancho,Kildonan—St. Paul,Manitoba,Conservative,Raquel.Dancho@parl.gc.ca,http://mpraqueldancho.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DanchoRaquel_CPC.jpg,https://www.ourcommons.ca/members/en/raquel-dancho(105521)
102653,1708714122709,,Scot,Davidson,York—Simcoe,Ontario,Conservative,Scot.Davidson@parl.gc.ca,http://www.scotdavidson.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DavidsonScot_CPC.jpg,https://www.ourcommons.ca/members/en/scot-davidson(102653)
59325,1708714122709,,Don,Davies,Vancouver Kingsway,British Columbia,NDP,don.davies@parl.gc.ca,http://www.dondavies.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DaviesDon_NDP.jpg,https://www.ourcommons.ca/members/en/don-davies(59325)
35315,1708714122709,,Claude,DeBellefeuille,Salaberry—Suroît,Quebec,Bloc Québécois,Claude.DeBellefeuille@parl.gc.ca,http://www.claudedebellefeuille.quebec,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DeBellefeuilleClaude_BQ.jpg,https://www.ourcommons.ca/members/en/claude-debellefeuille(35315)
88535,1708714122709,,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,gerard.deltell@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DeltellGérard_CPC.jpg,https://www.ourcommons.ca/members/en/gerard-deltell(88535)
49344,1708714122709,,Chris,d'Entremont,West Nova,Nova Scotia,Conservative,Chris.dEntremont@parl.gc.ca,http://chrisdentremont.ca/en,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DentremontChris_CPC.jpg,https://www.ourcommons.ca/members/en/chris-dentremont(49344)
104715,1708714122709,,Caroline,Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec,Bloc Québécois,Caroline.Desbiens@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DesbiensCaroline_BQ.jpg,https://www.ourcommons.ca/members/en/caroline-desbiens(104715)
104922,1708714122709,,Luc,Desilets,Rivière-des-Mille-Îles,Quebec,Bloc Québécois,Luc.Desilets@parl.gc.ca,http://lucdesilets.quebec,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DesiletsLuc_BQ.jpg,https://www.ourcommons.ca/members/en/luc-desilets(104922)
110889,1708714122709,,Blake,Desjarlais,Edmonton Griesbach,Alberta,NDP,blake.desjarlais@parl.gc.ca,http://blakedesjarlais.ndp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DesjarlaisBlake_NDP.jpg,https://www.ourcommons.ca/members/en/blake-desjarlais(110889)
31098,1708714122709,,Sukh,Dhaliwal,Surrey—Newton,British Columbia,Liberal,sukh.dhaliwal@parl.gc.ca,http://sukhdhaliwal.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DhaliwalSukh_Lib.jpg,https://www.ourcommons.ca/members/en/sukh-dhaliwal(31098)
88453,1708714122709,,Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,anju.dhillon@parl.gc.ca,http://anjudhillon.libparl.ca/?lang=en,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DhillonAnju_Lib.jpg,https://www.ourcommons.ca/members/en/anju-dhillon(88453)
109915,1708714122709,,Lena Metlege,Diab,Halifax West,Nova Scotia,Liberal,lenametlege.diab@parl.gc.ca,http://lenametlegediab.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DiabLenaMetlege_Lib.jpg,https://www.ourcommons.ca/members/en/lena-metlege-diab(109915)
89249,1708714122709,,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,todd.doherty@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DohertyTodd_CPC.jpg,https://www.ourcommons.ca/members/en/todd-doherty(89249)
105091,1708714122709,,Han,Dong,Don Valley North,Ontario,Independent,Han.Dong@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DongHan_Lib.jpg,https://www.ourcommons.ca/members/en/han-dong(105091)
105410,1708714122709,,Terry,Dowdall,Simcoe—Grey,Ontario,Conservative,Terry.Dowdall@parl.gc.ca,http://terrydowdallmp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DowdallTerry_CPC.jpg,https://www.ourcommons.ca/members/en/terry-dowdall(105410)
59226,1708714122709,,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,earl.dreeshen@parl.gc.ca,http://www.earldreeshen.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DreeshenEarl_CPC.jpg,https://www.ourcommons.ca/members/en/earl-dreeshen(59226)
88756,1708714122709,,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,francis.drouin@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DrouinFrancis_Lib.jpg,https://www.ourcommons.ca/members/en/francis-drouin(88756)
84660,1708714122709,,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,emmanuel.dubourg@parl.gc.ca,http://emmanueldubourg.libparl.ca/?lang=en,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DubourgEmmanuel_Lib.jpg,https://www.ourcommons.ca/members/en/emmanuel-dubourg(84660)
89408,1708714122709,Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,jean-yves.duclos@parl.gc.ca,http://jeanyvesduclos.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DuclosJeanYves_Lib.jpg,https://www.ourcommons.ca/members/en/jean-yves-duclos(89408)
31119,1708714122709,,Terry,Duguid,Winnipeg South,Manitoba,Liberal,terry.duguid@parl.gc.ca,http://terryduguid.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DuguidTerry_Lib.jpg,https://www.ourcommons.ca/members/en/terry-duguid(31119)
105422,1708714122709,,Eric,Duncan,Stormont—Dundas—South Glengarry,Ontario,Conservative,Eric.Duncan@parl.gc.ca,http://ericduncanmp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DuncanEric_CPC.jpg,https://www.ourcommons.ca/members/en/eric-duncan(105422)
58877,1708714122709,Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,kirsty.duncan@parl.gc.ca,http://kirstyduncan.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/DuncanKirsty_Lib.jpg,https://www.ourcommons.ca/members/en/kirsty-duncan(58877)
